claim_id,claim,reported_value,recomputed_value,source_file,delta,status
C01,Avg Spearman (16 Banff),0.8438,0.843756,correlation_results.json,4.4e-5,MATCH
C02,"Avg regret (16 Banff, with LDS)",17.51%,17.5120%,correlation_results.json,0.002pp,MATCH
C03,"Avg regret (16 Banff, no LDS filter)",17.88%,17.8777%,correlation_results_no_lds_filter.json,0.002pp,MATCH
C04,K=3 CV mean regret,3.06%,3.0615%,k3_per_shape_regret.csv,0.002pp,MATCH
C05,K=3 CV std regret,6.07%,6.0738%,k3_per_shape_regret.csv,0.004pp,MATCH
C06,Zero-regret shapes,58.7%,58.7%,k3_per_shape_regret.csv,0pp,MATCH
C07,Shapes >25% regret,39 (2.1%),39 (2.09%),k3_per_shape_regret.csv,0.01pp,MATCH
C08,3-stage valid tiles,3/21,3/21,lds_21tile_computation_trace.json,0,MATCH
C09,Origami vs Triton formula,identical,identical,lds_21tile_computation_trace.json,0,MATCH
C10,Decode BLOCK_N fix regret reduction,3.94pp,3.94pp,regret_reduction_verification.txt,0,MATCH
C11,M<=1 threshold covers fat-tail,0/39,0/39,fat_tail_autopsy_full.csv,0,MATCH
C12,Fat-tail shapes: prefill count,36/39,36/39,fat_tail_autopsy_full.csv,0,MATCH
C13,Tiles at exact 65536 limit (2-stage),4,4,lds_21tile_computation_trace.json,0,MATCH
